hemulgm,2023-03,0,0,0,0,0,0,0,0,2,0,0,1,1
geostyler,2023-05,0,0,0,1,1,0,7,5,0,4,5,4,9
srain,2023-05,0,0,0,0,0,0,0,0,1,0,0,0,0
idocs,2024-02,0,0,0,0,0,0,0,0,0,0,0,0,0
open-web-calendar,2023-03,0,0,0,1,4,2,0,2,4,0,0,1,0
nanui,2023-10,0,0,0,0,0,0,0,0,0,0,0,0,0
actionshub,2023-05,1,0,0,0,0,0,0,0,0,0,0,1,0
termux-pacman,2023-11,0,0,0,1,0,0,0,1,0,0,0,1,0
il-libro-open-source,2023-10,0,0,0,0,0,15,1,0,0,1,1,1,2
neorg,2024-01,9,9,9,6,9,14,3,5,4,10,8,7,9
wemake-python-styleguide,2023-08,1,3,2,2,1,2,3,1,0,1,1,3,6
pseudotv-live,2023-03,0,0,1,0,0,0,1,1,0,0,0,0,0
csstools,2023-02,1,0,0,0,0,0,0,0,0,0,0,0,0
organicmaps,2023-12,57,64,95,89,88,88,95,75,54,74,96,129,99
pitchblackrecovery,2023-04,0,0,0,0,0,1,0,0,0,0,0,0,0
actual,2023-06,0,0,2,1,3,3,3,5,8,5,3,6,2
aflpluspluseu,2024-02,0,1,0,0,0,0,0,0,0,0,1,0,1
axmol,2024-01,0,0,0,0,0,2,1,2,0,0,0,2,2
mathesar,2023-03,12,14,14,16,20,9,15,6,3,5,15,8,3
holoviz,2023-06,16,31,15,20,20,30,52,51,26,29,47,37,33
dbt-athena,2023-11,2,0,1,2,4,7,6,4,1,2,1,3,5
lthn,2023-03,0,0,0,0,1,0,0,1,0,0,0,0,3
npkill,2023-03,1,0,0,0,0,0,0,1,1,0,0,0,0
hiddify,2023-02,0,0,0,0,0,0,2,0,0,1,0,0,0
aosc,2023-08,0,0,0,0,0,0,1,0,0,0,0,0,0
phonevr,2024-02,0,1,0,0,1,0,2,2,0,0,1,1,4
mongodb-memory-server,2023-06,1,1,0,0,0,0,0,2,0,0,3,0,0
gin-vue-admin,2023-11,0,0,0,0,1,0,1,0,0,0,1,0,0
swup,2023-10,0,1,0,2,1,1,1,0,1,0,2,0,4
apollo-elements,2023-03,0,1,3,1,2,3,1,1,3,1,2,0,1
qtscrcpy,2023-05,0,0,0,0,0,0,0,0,0,0,0,0,0
carroted,2023-11,5,0,3,1,0,0,0,0,0,0,0,0,0
discordhooks,2023-03,0,0,0,0,0,0,0,0,0,0,0,0,0
open_stt,2023-07,0,0,0,1,0,1,1,0,2,0,2,1,0
pybamm,2023-12,4,10,4,7,10,2,10,8,2,10,3,4,16
salvo,2023-03,0,1,0,1,0,1,0,0,0,0,0,0,0
stacer,2024-02,0,2,2,0,0,1,3,1,0,1,0,1,2
sveltevietnam,2023-11,0,0,0,0,3,0,0,0,0,0,3,1,7
heti,2023-07,1,1,0,0,0,0,0,0,1,0,0,0,0
hatsh,2023-06,0,2,0,1,1,1,1,1,1,1,2,0,0
opennbs,2023-12,0,0,0,0,0,0,0,0,0,0,0,0,0
nvimdev,2023-08,0,0,0,0,0,0,0,3,8,4,5,6,8
electerm,2023-09,0,0,0,0,0,0,0,0,1,0,0,0,0
notesnook,2023-08,7,18,9,9,13,13,17,22,24,22,26,25,29
consciousdigital,2023-04,0,0,0,0,0,0,1,0,0,0,0,0,0
fof,2024-01,5,3,1,5,6,5,5,4,2,3,4,3,6
react-awesome-query-builder,2023-09,1,0,4,5,1,2,4,3,4,2,3,2,0
hartex,2023-09,0,0,0,0,0,0,0,0,0,0,0,0,0
winboxjs,2023-08,0,0,0,0,0,0,1,2,1,2,0,1,3
openhv,2023-04,1,2,0,0,0,0,0,0,0,1,1,0,2
linux-wifi-hotspot,2023-02,4,2,4,2,4,2,2,5,1,5,1,4,6
chameleon-ultra-gui,2023-08,0,0,0,0,0,0,0,5,3,0,0,1,1
pixieditor,2023-03,0,0,0,1,1,3,5,4,2,8,5,2,1
cupertino-pane,2023-05,1,0,0,0,0,0,1,1,3,3,3,0,0
blacksky,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
sustainoss,2023-02,0,0,0,0,0,0,4,0,0,0,0,0,0
jekyll-admin,2023-06,3,0,2,0,0,1,1,0,0,0,0,0,0
bootstrap-flask,2023-03,1,0,1,0,0,2,4,3,0,0,1,3,2
bevry,2023-11,0,0,0,0,0,0,2,2,2,2,0,1,0
techqueria,2023-07,0,0,0,0,0,0,0,0,0,0,0,0,0
revanced,2023-06,0,0,0,0,0,0,0,0,0,0,0,0,0
panuongroup,2023-11,0,0,0,0,0,0,0,0,0,0,0,0,0
