slug,index,Intervention,Time_after_intervention,commits_count,comments,amounts
LiterateInk,0,1,0,16,0,2
LiterateInk,1,1,1,1,2,1
LiterateInk,2,1,2,39,0,0
LiterateInk,3,1,3,21,0,0
LiterateInk,4,1,4,34,1,1
LiterateInk,5,1,5,35,1,3
LiterateInk,6,1,6,82,8,2
LiveGTech,-6,0,0,0,0,0
LiveGTech,-5,0,0,0,0,0
LiveGTech,-4,0,0,0,0,0
LiveGTech,-3,0,0,0,0,0
LiveGTech,-2,0,0,0,0,0
LiveGTech,-1,0,0,5,0,0
LiveGTech,0,1,0,19,0,2
LiveGTech,1,1,1,6,0,0
LiveGTech,2,1,2,3,0,0
LiveGTech,3,1,3,0,0,2
LiveGTech,4,1,4,6,0,1
LiveGTech,5,1,5,20,0,0
LiveGTech,6,1,6,9,0,0
MakUrSpace,-6,0,0,0,0,0
MakUrSpace,-5,0,0,0,0,0
MakUrSpace,-4,0,0,3,0,0
MakUrSpace,-3,0,0,8,0,0
MakUrSpace,-2,0,0,0,0,0
MakUrSpace,-1,0,0,3,0,0
MakUrSpace,0,1,0,0,0,3
MakUrSpace,1,1,1,0,0,6
MakUrSpace,2,1,2,1,0,1
MakUrSpace,3,1,3,21,1,3
MakUrSpace,4,1,4,5,1,3
MakUrSpace,5,1,5,14,0,0
MakUrSpace,6,1,6,0,0,0
Midnight-Lizard,-6,0,0,0,0,0
Midnight-Lizard,-5,0,0,0,0,0
Midnight-Lizard,-4,0,0,0,0,0
Midnight-Lizard,-3,0,0,5,0,0
Midnight-Lizard,-2,0,0,42,0,0
Midnight-Lizard,-1,0,0,7,0,0
Midnight-Lizard,0,1,0,2,0,1
Midnight-Lizard,1,1,1,0,0,0
Midnight-Lizard,2,1,2,0,0,0
Midnight-Lizard,3,1,3,8,0,0
Midnight-Lizard,4,1,4,26,0,0
Midnight-Lizard,5,1,5,2,0,0
Midnight-Lizard,6,1,6,3,0,0
ModuleArt,-6,0,0,4,0,0
ModuleArt,-5,0,0,0,0,0
ModuleArt,-4,0,0,0,0,0
ModuleArt,-3,0,0,0,0,0
ModuleArt,-2,0,0,0,0,0
ModuleArt,-1,0,0,0,0,0
ModuleArt,0,1,0,0,0,19
ModuleArt,1,1,1,8,0,2
ModuleArt,2,1,2,22,0,0
ModuleArt,3,1,3,10,5,1
ModuleArt,4,1,4,12,0,0
ModuleArt,5,1,5,0,10,1
ModuleArt,6,1,6,0,0,2
NServiceBusExtensions,-6,0,0,0,0,0
NServiceBusExtensions,-5,0,0,0,0,0
NServiceBusExtensions,-4,0,0,0,0,0
