slug,index,Intervention,Time_after_intervention,releases_count,comments,amounts
cpeditor,-5,0,0,0,0,0
cpeditor,-4,0,0,0,0,0
cpeditor,-3,0,0,0,0,0
cpeditor,-2,0,0,0,0,0
cpeditor,-1,0,0,0,0,0
cpeditor,0,1,0,0,11,1
cpeditor,1,1,1,0,0,2
cpeditor,2,1,2,0,4,1
cpeditor,3,1,3,0,0,0
cpeditor,4,1,4,2,0,0
cpeditor,5,1,5,4,0,0
cpeditor,6,1,6,5,0,1
cssnano,-6,0,0,4,0,0
cssnano,-5,0,0,1,0,0
cssnano,-4,0,0,3,0,0
cssnano,-3,0,0,2,0,0
cssnano,-2,0,0,0,0,0
cssnano,-1,0,0,1,0,0
cssnano,0,1,0,0,5,1
cssnano,1,1,1,1,0,0
cssnano,2,1,2,0,3,3
cssnano,3,1,3,0,3,2
cssnano,4,1,4,0,0,0
cssnano,5,1,5,1,2,1
cssnano,6,1,6,1,10,5
csstools,-6,0,0,2,0,0
csstools,-5,0,0,1,0,0
csstools,-4,0,0,0,0,0
csstools,-3,0,0,0,0,0
csstools,-2,0,0,2,0,0
csstools,-1,0,0,2,0,0
csstools,0,1,0,9,0,1
csstools,1,1,1,2,1,2
csstools,2,1,2,3,0,0
csstools,3,1,3,0,0,0
csstools,4,1,4,0,0,0
csstools,5,1,5,0,0,0
csstools,6,1,6,0,0,0
csstree,-6,0,0,0,0,0
csstree,-5,0,0,3,0,0
csstree,-4,0,0,1,0,0
csstree,-3,0,0,2,0,0
csstree,-2,0,0,1,0,0
csstree,-1,0,0,7,0,0
csstree,0,1,0,3,7,1
csstree,1,1,1,0,0,0
csstree,2,1,2,0,0,0
csstree,3,1,3,0,0,0
csstree,4,1,4,0,4,2
csstree,5,1,5,2,0,0
csstree,6,1,6,1,0,0
dbgate,-6,0,0,0,0,0
dbgate,-5,0,0,0,0,0
dbgate,-4,0,0,0,0,0
dbgate,-3,0,0,0,0,0
dbgate,-2,0,0,0,0,0
dbgate,-1,0,0,0,0,0
dbgate,0,1,0,0,0,1
dbgate,1,1,1,0,22,10
dbgate,2,1,2,0,10,19
dbgate,3,1,3,12,0,0
dbgate,4,1,4,10,0,0
dbgate,5,1,5,8,0,0
dbgate,6,1,6,0,0,0
denosaurs,-6,0,0,0,0,0
denosaurs,-5,0,0,0,0,0
denosaurs,-4,0,0,0,0,0
denosaurs,-3,0,0,4,0,0
denosaurs,-2,0,0,1,0,0
denosaurs,-1,0,0,0,0,0
denosaurs,0,1,0,7,1,1
denosaurs,1,1,1,9,38,2
denosaurs,2,1,2,3,0,0
denosaurs,3,1,3,18,2,1
denosaurs,4,1,4,29,6,2
denosaurs,5,1,5,18,14,5
denosaurs,6,1,6,6,0,0
docksal,-6,0,0,1,0,0
docksal,-5,0,0,2,0,0
docksal,-4,0,0,0,0,0
docksal,-3,0,0,1,0,0
docksal,-2,0,0,1,0,0
docksal,-1,0,0,3,0,0
docksal,0,1,0,6,0,4
docksal,1,1,1,1,0,0
docksal,2,1,2,0,0,0
docksal,3,1,3,0,0,0
docksal,4,1,4,0,0,0
docksal,5,1,5,0,1,2
docksal,6,1,6,1,0,0
electerm,-6,0,0,0,0,0
electerm,-5,0,0,0,0,0
electerm,-4,0,0,0,0,0
electerm,-3,0,0,0,0,0
electerm,-2,0,0,2,0,0
